District,Block,Population,Literacy_Rate,Rural_Percentage,No_of_Schools,Dropout_Rate,Lat,Long
Tiruvarur,Block_382,301766,72.8,77,113,4.1,8.805,79.2356
Pudukkottai,Block_383,85245,66.2,70,82,8.1,9.5601,76.5443
Vellore,Block_384,374530,66.4,37,55,6.0,10.5068,78.3286
Tirunelveli,Block_385,468286,69.9,70,82,11.8,10.6661,77.2105
Krishnagiri,Block_386,337817,78.3,75,177,7.4,10.1368,76.4768
Namakkal,Block_387,115686,81.8,22,54,7.6,8.0423,77.8694
Cuddalore,Block_388,84979,87.0,51,69,5.8,8.793,78.6805
Trichy,Block_389,321407,69.3,47,149,9.2,11.9477,78.8751
Kanchipuram,Block_390,286439,71.8,72,179,11.5,9.4976,80.2126
Karur,Block_391,202563,74.5,65,82,11.6,11.841,79.8251
Krishnagiri,Block_392,88823,76.2,7,100,10.7,8.1378,76.4925
Trichy,Block_393,182383,79.0,2,119,13.5,8.0914,76.6878
Salem,Block_394,260354,69.7,34,181,11.8,8.8009,79.8121
Madurai,Block_395,202888,67.3,39,94,5.0,10.4286,80.469
Nilgiris,Block_396,404558,88.0,31,175,4.3,8.2481,76.9603
Ariyalur,Block_397,341007,65.2,44,82,7.3,12.8533,79.9175
Madurai,Block_398,112239,83.8,66,117,4.2,12.8408,76.6482
Virudhunagar,Block_399,404894,70.3,79,82,8.3,9.2545,77.3033
Namakkal,Block_400,456785,86.6,2,79,8.4,9.456,77.3328
Theni,Block_401,145194,73.7,7,192,3.4,11.9299,78.8356
Theni,Block_402,185825,67.3,40,58,11.8,8.9742,78.608
Thoothukudi,Block_403,465828,83.8,13,112,6.6,10.9014,76.934
Tiruvarur,Block_404,465700,90.1,20,40,4.2,12.6074,78.2447
Perambalur,Block_405,258026,89.4,14,196,11.6,11.0155,78.1543
Ramanathapuram,Block_406,307658,67.5,23,26,13.2,13.3185,78.1153
Sivagangai,Block_407,93226,76.2,53,29,3.9,13.3801,79.1232
Erode,Block_408,81446,66.2,37,174,12.7,10.8409,78.1714
Ramanathapuram,Block_409,217437,78.9,73,67,14.4,12.9679,79.2555
Namakkal,Block_410,440645,77.0,35,147,11.5,12.5536,79.6877
Perambalur,Block_411,287009,72.4,40,32,11.6,9.3784,80.3459
Madurai,Block_412,247336,66.7,12,112,8.0,9.633,80.3659
Sivagangai,Block_413,108425,69.0,46,195,8.9,12.2105,79.6591
Ariyalur,Block_414,154132,82.7,72,132,7.1,12.2733,76.1831
Cuddalore,Block_415,252941,65.8,28,81,9.1,10.8725,76.4815
Tiruvallur,Block_416,68104,74.1,19,41,7.8,8.5952,80.4185
Virudhunagar,Block_417,380856,67.2,34,38,7.2,11.5709,77.25
Pudukkottai,Block_418,479324,82.9,48,125,12.0,10.0318,76.2863
Tiruppur,Block_419,146551,88.1,32,105,6.0,10.0423,77.0444
Chennai,Block_420,381827,70.9,27,50,7.1,11.6901,78.1469
Thanjavur,Block_421,260161,84.4,66,181,5.1,9.1332,79.1321
Perambalur,Block_422,364815,75.3,77,138,12.1,11.6756,78.1637
Ariyalur,Block_423,80448,90.0,14,101,13.9,10.1228,76.3981
Theni,Block_424,157501,90.8,32,80,8.5,12.3392,77.1575
Tiruvallur,Block_425,232771,72.0,22,69,4.6,9.2443,78.7825
Ariyalur,Block_426,330950,85.6,46,98,6.5,8.9897,79.6481
Tiruvallur,Block_427,337029,90.3,77,56,13.0,12.6062,76.8559
Perambalur,Block_428,413818,74.5,3,80,7.1,9.2019,80.0397
Ramanathapuram,Block_429,82622,74.7,62,163,7.8,12.6509,77.238
Kanchipuram,Block_430,140196,75.5,32,68,7.6,11.0852,78.7369
Pudukkottai,Block_431,140137,83.2,46,135,7.5,9.8824,77.3282
Cuddalore,Block_432,140926,66.3,8,195,6.5,8.4689,80.2193
Sivagangai,Block_433,229713,89.2,1,152,13.7,11.765,77.7607
Coimbatore,Block_434,199260,68.1,29,37,10.2,9.7925,79.9275
Nilgiris,Block_435,343820,77.9,77,123,5.4,10.8284,79.4038
Virudhunagar,Block_436,345183,72.5,71,60,6.8,12.6135,80.1546
Chennai,Block_437,149025,69.8,42,187,8.9,10.5481,77.6267
Pudukkottai,Block_438,491306,81.0,12,148,14.4,11.3426,77.0843
Pudukkottai,Block_439,347150,76.3,33,157,4.9,11.9165,78.9488
Thoothukudi,Block_440,251787,67.9,12,121,3.6,8.9541,78.0799
Tiruppur,Block_441,237905,74.9,63,96,7.5,8.2131,77.3499
Sivagangai,Block_442,297411,77.1,42,56,10.2,10.2495,76.3284
Virudhunagar,Block_443,239126,88.3,5,106,4.6,8.7114,76.8761
Trichy,Block_444,81329,89.9,28,86,9.6,9.5909,77.9609
Nagapattinam,Block_445,304207,82.2,59,131,11.6,8.5626,77.8623
Namakkal,Block_446,90361,86.9,5,125,12.3,11.6395,77.6727
Viluppuram,Block_447,147423,76.6,3,54,7.4,9.9572,76.8247
Pudukkottai,Block_448,312036,85.1,26,40,10.4,9.5836,77.6527
Dindigul,Block_449,458015,87.6,60,190,6.7,12.3749,76.4404
Viluppuram,Block_450,442242,90.6,39,117,3.4,8.2401,80.2092
Namakkal,Block_451,373582,74.1,63,160,5.2,11.6407,78.9326
Pudukkottai,Block_452,82457,71.0,15,115,9.3,13.3351,78.5268
Dindigul,Block_453,331279,70.1,39,71,13.7,12.2039,77.4192
Chennai,Block_454,107870,91.2,24,125,8.5,10.7001,76.8095
Theni,Block_455,157855,80.0,33,140,3.8,9.7164,76.1041
Tiruppur,Block_456,177300,74.4,24,172,11.9,11.0086,78.191
Tirunelveli,Block_457,376539,88.7,20,176,14.4,12.6018,76.9166
Karur,Block_458,282712,72.9,23,130,11.5,11.722,79.6665
Tiruvallur,Block_459,443876,68.6,51,158,14.3,12.4087,77.3213
Madurai,Block_460,240699,90.3,7,163,6.9,9.6987,78.5603
Sivagangai,Block_461,127728,83.7,19,40,13.2,10.2384,78.5723
Erode,Block_462,148298,71.8,14,194,10.0,8.6572,80.3768
Karur,Block_463,484858,65.5,71,62,5.2,10.0702,76.5839
Nagapattinam,Block_464,74662,83.6,66,78,10.7,11.7573,77.9002
Thoothukudi,Block_465,364834,88.1,0,149,14.5,10.3923,76.6286
Perambalur,Block_466,247376,84.8,64,178,13.9,11.7405,78.7743
Erode,Block_467,351100,66.1,61,122,8.7,10.565,79.6817
Ramanathapuram,Block_468,368933,90.9,40,68,14.9,9.3568,77.1776
Tiruppur,Block_469,165790,67.4,31,25,14.6,11.4712,76.0107
Erode,Block_470,413539,90.4,39,155,9.8,10.9816,77.1932
Tirunelveli,Block_471,351221,73.4,37,150,12.1,9.8161,79.5619
Erode,Block_472,386956,86.1,17,93,14.8,10.4492,77.3619
Karur,Block_473,354881,90.9,39,180,13.6,8.3374,77.8852
Krishnagiri,Block_474,239678,84.0,42,86,8.3,9.2914,79.8769
Theni,Block_475,338657,67.4,8,133,5.8,11.6316,78.0842
Karur,Block_476,96061,90.2,50,73,11.4,12.3883,78.8328
Perambalur,Block_477,303485,87.6,50,194,3.9,12.4477,78.8819
Ariyalur,Block_478,234368,86.6,73,143,11.2,10.6106,80.4626
Cuddalore,Block_479,173205,84.2,53,164,10.8,13.4234,76.1651
Trichy,Block_480,251866,80.8,13,81,3.7,8.9867,76.9738
Tiruvarur,Block_481,407453,69.1,50,66,6.8,8.1475,77.512
Viluppuram,Block_482,126527,66.9,65,170,3.9,12.6298,77.6844
Karur,Block_483,345856,68.0,9,83,4.7,10.3632,78.7187
Nilgiris,Block_484,189052,82.9,50,86,11.8,12.2074,79.9818
Tirunelveli,Block_485,388028,69.2,35,84,10.5,8.8323,79.619
Tiruvarur,Block_486,488716,85.1,22,150,8.5,12.8749,76.4768
Pudukkottai,Block_487,189447,79.5,23,96,9.1,11.6257,76.2311
Kanchipuram,Block_488,267033,78.9,51,105,10.8,8.1163,77.6532
Thanjavur,Block_489,241965,82.0,31,70,12.7,8.1868,79.344
Theni,Block_490,326685,83.9,26,156,11.5,9.0505,79.316
Chennai,Block_491,325226,79.5,76,137,12.3,8.1688,78.7299
Tirunelveli,Block_492,213830,85.5,14,83,3.5,11.6488,76.7897
Tiruvarur,Block_493,423029,77.8,27,178,8.9,11.0721,76.6493
Coimbatore,Block_494,313713,73.6,41,158,7.8,8.527,79.7833
Tiruvarur,Block_495,336091,66.6,46,149,10.4,9.4099,80.1503
Tirunelveli,Block_496,303971,66.7,16,49,13.3,8.0817,77.6977
Trichy,Block_497,212097,79.4,26,183,3.0,8.1048,76.2877
Coimbatore,Block_498,492056,87.5,56,97,12.1,9.2293,78.3295
Tiruvarur,Block_499,108317,65.2,26,200,11.1,9.7068,78.9778
Tiruvallur,Block_500,160410,87.6,6,179,7.0,10.7268,77.9739
Virudhunagar,Block_501,346389,71.2,36,87,13.0,11.1017,76.8482
Erode,Block_502,127330,90.7,29,61,6.9,9.1894,79.7639
Karur,Block_503,116319,66.6,21,25,9.9,9.2007,78.9773
Tiruvarur,Block_504,366814,82.3,4,180,12.8,12.7309,76.9505
Ariyalur,Block_505,488974,67.2,31,198,7.3,12.5911,78.5934
Tiruppur,Block_506,470692,76.1,56,176,5.1,9.511,80.1717
Madurai,Block_507,223057,85.2,80,128,5.0,9.6583,76.0547
Krishnagiri,Block_508,338003,74.7,30,84,8.9,8.7352,78.8581
Dindigul,Block_509,287491,90.5,44,39,12.4,11.4267,76.2749
Erode,Block_510,149492,65.9,67,122,9.8,8.0056,78.0916
Sivagangai,Block_511,61318,88.9,41,136,7.1,11.0876,77.7691
Cuddalore,Block_512,111029,80.3,2,184,9.4,8.2214,78.9677
Madurai,Block_513,115849,81.8,62,195,8.9,9.0709,76.1304
Cuddalore,Block_514,470469,74.5,65,40,14.3,9.9543,77.7659
Krishnagiri,Block_515,223260,90.6,36,165,4.8,13.2964,79.8197
Salem,Block_516,60214,81.7,29,33,4.4,12.0348,77.478
Tiruvallur,Block_517,243244,83.6,38,25,10.6,10.0848,77.2463
Erode,Block_518,352582,77.1,73,82,11.7,9.372,77.7059
Namakkal,Block_519,112558,69.7,26,105,11.3,9.3569,79.7498
Viluppuram,Block_520,164601,73.0,65,38,12.2,10.9802,78.4522
Tiruvarur,Block_521,407608,73.9,46,30,13.2,12.5485,77.2154
Pudukkottai,Block_522,471617,75.1,16,152,13.0,11.1945,77.702
Erode,Block_523,427628,83.5,7,160,9.4,12.0479,76.9203
Madurai,Block_524,255311,83.9,1,76,11.2,12.0804,76.4221
Tiruppur,Block_525,297827,80.3,32,127,10.2,10.9375,79.4265
Perambalur,Block_526,54227,68.6,5,137,5.9,12.1714,80.3296
Thanjavur,Block_527,106275,68.4,37,87,13.7,11.3137,76.4702
Tiruvarur,Block_528,473352,77.6,9,138,7.1,9.6674,77.8512
Viluppuram,Block_529,182240,89.0,4,158,5.4,10.3942,76.2251
Kanchipuram,Block_530,116489,72.3,64,51,11.2,12.8144,79.848
Salem,Block_531,417733,74.1,76,33,12.8,12.961,80.1714
Dindigul,Block_532,138580,71.1,34,185,11.6,12.6434,76.0242
Vellore,Block_533,197172,66.9,21,34,4.2,9.4178,78.3181
Nagapattinam,Block_534,215356,75.5,9,153,5.9,10.085,76.1624
Ariyalur,Block_535,207717,79.1,1,101,8.8,12.0934,79.8014
Ramanathapuram,Block_536,233927,83.6,64,130,6.1,9.0768,78.3212
Viluppuram,Block_537,301410,88.5,10,59,10.3,12.0705,78.9491
Thoothukudi,Block_538,95501,79.6,73,58,10.0,12.3997,76.1521
Namakkal,Block_539,158281,78.5,46,119,11.1,12.1146,78.6179
Sivagangai,Block_540,164830,67.8,22,147,5.0,11.8164,76.7581
Thoothukudi,Block_541,99655,77.1,31,183,7.3,9.548,79.9239
Trichy,Block_542,316257,89.7,27,162,11.5,8.7187,77.5313
Karur,Block_543,116995,76.7,39,191,3.9,10.331,79.125
Chennai,Block_544,300450,79.9,59,53,11.6,10.7224,78.3919
Nilgiris,Block_545,477806,80.1,6,137,9.9,8.555,77.8973
Karur,Block_546,206983,85.1,4,25,5.6,12.7205,76.8135
Perambalur,Block_547,358232,91.5,58,115,11.2,8.3878,78.9242
Salem,Block_548,356639,68.7,24,31,10.0,10.63,80.4995
Tiruvarur,Block_549,159530,66.4,53,89,12.2,10.3689,80.4012
Nilgiris,Block_550,344319,88.0,27,159,4.0,11.8068,78.5923
Ramanathapuram,Block_551,345789,79.8,55,182,3.1,9.3379,78.8016
Namakkal,Block_552,113218,73.9,44,133,6.6,10.7592,76.259
Trichy,Block_553,395975,74.6,65,68,4.7,11.2425,76.4983
Erode,Block_554,370121,89.3,35,125,12.5,8.7431,78.8151
Thanjavur,Block_555,441499,82.2,43,96,6.8,11.8849,79.5896
Kanchipuram,Block_556,86534,70.5,30,92,10.0,12.3865,76.1803
Dindigul,Block_557,304379,70.1,11,69,9.6,13.1845,76.6752
Thoothukudi,Block_558,138167,84.4,68,184,13.0,11.9566,76.0117
Ariyalur,Block_559,176157,87.7,28,197,11.2,11.336,80.0572
Erode,Block_560,352620,67.1,30,128,11.2,8.5559,79.3298
Tirunelveli,Block_561,395341,89.5,19,75,10.6,12.4591,79.549
Namakkal,Block_562,165832,91.4,79,61,3.8,10.4602,80.4143
Viluppuram,Block_563,152595,90.9,66,178,9.9,13.3061,77.1935
Ramanathapuram,Block_564,198960,80.6,42,119,10.3,11.9242,78.2313
Krishnagiri,Block_565,69888,81.5,40,45,6.6,11.2675,76.4628
Krishnagiri,Block_566,300672,79.9,47,22,14.7,9.3174,80.262
Nilgiris,Block_567,281661,69.8,4,183,9.3,11.9657,78.2224
Dindigul,Block_568,391122,91.6,3,185,13.9,9.2636,79.9761
Tirunelveli,Block_569,161777,86.6,36,73,8.4,9.2919,78.7923
Erode,Block_570,210530,69.4,20,57,5.1,11.663,76.0058
Vellore,Block_571,260885,68.9,58,85,13.0,12.8502,80.1236
Pudukkottai,Block_572,171721,87.8,58,195,5.7,10.1977,79.0161
Nilgiris,Block_573,138524,85.5,77,117,12.3,11.3397,76.3681
Theni,Block_574,271914,69.7,19,119,8.3,11.5958,77.6856
Madurai,Block_575,406013,76.9,13,61,7.9,8.7613,78.0924
Theni,Block_576,341494,78.3,49,73,6.5,12.4037,78.4882
Perambalur,Block_577,332324,71.3,18,80,4.6,10.6926,78.7907
Theni,Block_578,149566,69.1,67,77,9.1,10.5562,78.2143
Vellore,Block_579,416089,65.6,69,71,14.2,9.8272,76.2878
Vellore,Block_580,162807,82.6,75,20,6.5,9.0268,77.0456
Kanchipuram,Block_581,195302,79.3,48,148,12.5,8.9462,78.3773
Perambalur,Block_582,326795,91.4,66,172,3.4,12.4562,79.3496
Kanchipuram,Block_583,291716,89.8,8,117,14.5,8.6917,79.9832
Coimbatore,Block_584,482824,77.0,42,79,4.0,13.1175,79.323
Theni,Block_585,473600,89.5,9,94,5.2,11.3213,79.0991
Pudukkottai,Block_586,474151,90.9,27,166,8.3,11.8755,77.4249
Madurai,Block_587,120786,79.9,12,177,8.3,10.1656,79.8302
Erode,Block_588,79623,91.0,26,142,14.2,12.4737,76.7404
Chennai,Block_589,95238,88.8,51,65,4.3,10.2313,78.7714
Chennai,Block_590,403064,81.3,64,27,9.9,11.4566,80.4559
Karur,Block_591,146167,89.1,60,38,6.4,10.4224,78.8499
Virudhunagar,Block_592,269632,69.5,60,42,12.4,11.3609,79.2422
Chennai,Block_593,113669,72.4,29,37,4.7,12.3999,77.4891
Krishnagiri,Block_594,465746,89.2,45,159,10.7,8.3742,76.1662
Ariyalur,Block_595,138710,80.4,42,192,14.3,12.7176,80.0965
Coimbatore,Block_596,159953,79.1,6,98,8.1,9.1562,78.7676
Virudhunagar,Block_597,418813,91.4,46,183,13.8,12.0046,76.9751
Ramanathapuram,Block_598,160511,77.5,47,116,10.0,11.738,79.1449
Trichy,Block_599,109387,71.2,4,145,4.9,10.7462,76.8677
Madurai,Block_600,303137,88.4,10,82,10.1,12.9669,78.484
Salem,Block_601,169495,67.2,36,196,7.1,8.5226,79.0547
Ramanathapuram,Block_602,440043,72.6,54,186,13.1,13.0398,77.7054
Vellore,Block_603,147320,73.2,19,73,7.0,9.5494,76.3089
Namakkal,Block_604,180290,90.8,5,93,8.9,8.7963,80.2132
Tiruppur,Block_605,210468,82.7,44,168,6.2,8.6935,77.9421
Pudukkottai,Block_606,257029,87.8,80,120,10.1,10.358,80.1537
Vellore,Block_607,58822,65.7,2,144,12.0,11.7714,77.8679
Tiruppur,Block_608,383406,89.2,21,160,8.6,11.5018,78.9735
Erode,Block_609,441225,84.8,57,178,13.5,13.1235,79.3143
Sivagangai,Block_610,234252,83.6,19,183,12.3,9.1803,78.6991
Coimbatore,Block_611,486217,82.4,16,58,13.2,8.7437,78.0306
Trichy,Block_612,424465,70.4,24,188,3.1,11.9874,77.2941
Tiruppur,Block_613,313354,83.8,35,109,11.1,13.4126,78.1333
Ariyalur,Block_614,198268,81.9,54,38,14.5,8.0483,79.2995
Karur,Block_615,489990,74.8,23,119,13.9,12.3756,79.0633
Pudukkottai,Block_616,123267,71.3,27,96,9.4,12.1133,79.857
Tiruvarur,Block_617,482730,79.6,34,129,7.0,12.0403,78.0839
Thanjavur,Block_618,327015,81.8,20,107,6.7,13.4849,79.5069
Tiruvallur,Block_619,280830,83.5,69,36,11.7,10.3551,77.3508
Pudukkottai,Block_620,113430,88.3,29,124,13.3,9.8055,77.1174
Pudukkottai,Block_621,132512,91.2,64,57,7.5,9.7781,78.4807
Tiruvallur,Block_622,413160,72.4,28,143,13.8,8.5187,76.9943
Nagapattinam,Block_623,256654,88.5,62,109,11.7,9.2713,80.3715
Tiruppur,Block_624,421700,71.0,45,69,12.0,12.1006,77.4082
Tiruvallur,Block_625,461459,86.3,21,85,12.9,10.7888,78.6059
Karur,Block_626,171578,65.7,63,179,8.1,9.9264,78.8601
Kanchipuram,Block_627,497718,71.9,10,151,9.1,12.5907,77.7381
Kanchipuram,Block_628,491253,74.4,49,144,5.0,8.0746,76.0576
Chennai,Block_629,55358,84.0,43,26,3.9,12.0395,78.6051
Krishnagiri,Block_630,241914,73.2,18,175,8.9,10.8694,78.8599
Thoothukudi,Block_631,127169,86.9,54,32,12.0,10.2115,80.054
Pudukkottai,Block_632,462627,91.0,45,171,4.2,11.3261,77.7822
Pudukkottai,Block_633,259891,85.4,67,31,11.4,9.7003,77.7007
Tiruppur,Block_634,224731,88.5,73,25,6.2,9.8359,76.0039
Tiruppur,Block_635,256848,82.4,20,154,13.5,10.5192,79.7054
Ramanathapuram,Block_636,451529,81.8,10,73,14.6,9.9471,77.8031
Chennai,Block_637,265452,80.1,55,137,12.5,12.1633,76.4756
Madurai,Block_638,390538,73.1,32,189,12.7,11.1025,78.0418
Tirunelveli,Block_639,307054,91.6,65,57,6.0,9.3774,79.4644
Ariyalur,Block_640,147323,79.0,38,117,15.0,9.666,79.48
Nilgiris,Block_641,355513,84.2,30,26,10.8,12.685,77.6706
Coimbatore,Block_642,129999,78.4,24,153,5.9,12.7396,78.6543
Salem,Block_643,81654,87.1,63,59,13.0,13.3575,76.3115
Tiruvallur,Block_644,401374,81.2,25,102,3.2,11.0985,76.6232
Thoothukudi,Block_645,273786,84.4,7,114,14.1,12.6493,76.0126
Tiruppur,Block_646,356575,69.8,36,133,11.0,9.0734,77.1647
Nagapattinam,Block_647,427905,73.1,49,126,5.5,9.2006,77.7395
Nilgiris,Block_648,214536,91.3,20,78,10.5,8.3226,80.3331
Coimbatore,Block_649,346669,87.7,60,85,9.7,11.4479,79.6299
Erode,Block_650,351703,91.7,47,196,13.5,8.1122,80.0119
Krishnagiri,Block_651,471158,88.1,60,154,3.8,10.7468,76.4306
Ramanathapuram,Block_652,317557,81.1,20,175,10.3,11.1678,80.3573
Tiruppur,Block_653,177206,82.3,73,131,5.5,12.9894,76.419
Vellore,Block_654,472342,91.2,22,169,5.5,11.3156,77.1188
Viluppuram,Block_655,98327,85.7,39,184,8.1,10.7209,80.3147
Tiruppur,Block_656,173794,87.9,59,68,11.5,8.0707,78.4252
Namakkal,Block_657,314955,88.2,55,56,7.4,8.9676,78.5284
Tirunelveli,Block_658,408904,87.9,0,111,13.6,10.6949,80.1103
Cuddalore,Block_659,144220,80.4,77,95,5.0,12.2899,78.3695
Chennai,Block_660,181263,85.2,74,124,6.2,9.162,78.9228
Sivagangai,Block_661,236038,70.6,59,163,8.0,11.7475,80.478
Virudhunagar,Block_662,487537,77.2,29,68,8.8,8.3018,78.5949
Nagapattinam,Block_663,476526,78.9,64,42,9.7,12.853,78.2279
Vellore,Block_664,354781,86.9,22,161,5.2,11.2183,80.3059
Cuddalore,Block_665,261379,66.5,10,28,11.6,10.3934,78.6673
Namakkal,Block_666,240472,83.1,6,91,11.5,13.065,79.1192
Dindigul,Block_667,256642,88.1,73,90,4.4,10.4796,78.0091
Thoothukudi,Block_668,339788,76.7,65,28,5.0,13.2735,80.3216
Trichy,Block_669,416532,70.5,68,123,5.4,12.9292,77.5639
Thoothukudi,Block_670,347136,69.5,26,33,13.8,10.6821,80.1167
Kanchipuram,Block_671,289853,73.6,30,152,10.5,13.1288,79.8753
Kanchipuram,Block_672,248521,69.4,41,97,9.1,8.7902,79.9255
Tirunelveli,Block_673,104716,69.3,1,123,14.0,10.4346,77.7707
Tirunelveli,Block_674,381594,91.0,47,41,14.8,12.5096,76.9238
Virudhunagar,Block_675,135391,85.8,13,78,6.2,8.7617,80.4792
Tiruppur,Block_676,116779,74.6,0,193,12.0,13.3133,79.5045
Tiruvallur,Block_677,407192,85.2,32,188,6.2,8.8471,78.5622
Tiruppur,Block_678,366320,68.2,29,101,12.4,12.462,76.0473
Tiruvarur,Block_679,83592,91.7,19,28,11.4,9.8885,77.5318
Nilgiris,Block_680,424573,91.2,39,106,4.1,8.1791,78.1917
Namakkal,Block_681,109723,89.4,43,113,8.0,11.0195,78.2595
Theni,Block_682,75808,71.1,42,136,8.5,11.7885,79.092
Nilgiris,Block_683,235828,73.8,76,110,5.3,9.618,77.6034
Namakkal,Block_684,195588,65.1,26,94,6.2,10.6854,79.4079
Tiruppur,Block_685,368814,72.6,60,65,9.2,10.5553,80.2067
Kanchipuram,Block_686,272491,84.0,63,122,7.6,12.5402,77.4829
Nilgiris,Block_687,90400,87.3,55,106,13.2,9.7429,77.9034
Salem,Block_688,341016,70.4,70,151,12.5,11.0465,76.8308
Chennai,Block_689,231621,87.6,19,91,10.1,11.2151,80.4923
Chennai,Block_690,433357,82.9,4,164,10.3,10.525,77.0233
Chennai,Block_691,94331,77.3,59,56,4.8,9.9402,76.5059
Perambalur,Block_692,308961,70.2,50,153,14.0,9.681,77.6673
Vellore,Block_693,69412,91.9,20,114,5.0,13.4487,76.2187
Thanjavur,Block_694,117927,85.4,45,108,8.7,8.1987,77.761
Namakkal,Block_695,290039,79.2,34,139,11.0,11.073,78.3005
Vellore,Block_696,60837,82.7,53,182,7.7,8.8528,78.4979
Viluppuram,Block_697,311177,81.2,2,140,6.2,9.5039,76.8594
Salem,Block_698,265177,71.9,8,68,5.2,10.3086,76.243
Madurai,Block_699,399391,86.3,12,22,12.0,13.3013,78.3367
Namakkal,Block_700,271438,83.5,46,164,14.9,12.3847,78.0064
Chennai,Block_701,234335,75.7,22,112,7.9,11.2625,76.6416
Erode,Block_702,440754,67.9,21,195,9.9,10.9595,80.1636
Pudukkottai,Block_703,164203,76.5,67,68,3.6,13.1854,79.4581
Tiruppur,Block_704,110032,69.2,38,151,12.3,12.2497,77.0761
Chennai,Block_705,303505,69.6,19,85,10.0,8.6786,78.5974
Kanchipuram,Block_706,279209,70.7,66,100,6.3,13.01,79.3135
Theni,Block_707,355296,84.6,48,182,13.4,8.4483,79.3743
Perambalur,Block_708,144165,87.4,44,164,14.2,8.3147,77.208
Kanchipuram,Block_709,391119,83.0,43,134,8.2,8.2953,78.3069
Kanchipuram,Block_710,494054,74.1,58,176,13.6,8.0556,77.109
Krishnagiri,Block_711,73908,89.1,50,143,5.8,10.7228,79.2353
Coimbatore,Block_712,386279,77.1,12,91,11.6,9.0965,77.766
Coimbatore,Block_713,67201,65.9,42,25,3.7,8.8044,78.3627
Thoothukudi,Block_714,480954,88.8,40,86,12.0,13.0502,79.0773
Tiruppur,Block_715,372386,84.0,80,190,9.6,9.1396,78.3943
Perambalur,Block_716,67504,79.1,11,165,11.5,11.6006,78.0417
Tirunelveli,Block_717,460401,89.1,77,120,3.5,8.0873,80.0249
Tiruvarur,Block_718,116181,72.9,42,182,13.8,12.8356,80.4574
Erode,Block_719,191112,91.6,49,62,13.1,11.7692,77.0149
Ariyalur,Block_720,188164,68.8,57,142,14.7,13.3612,76.0714
Sivagangai,Block_721,458149,81.4,57,49,10.5,10.7889,76.6048
Madurai,Block_722,468231,78.9,12,51,7.9,11.238,78.4213
Cuddalore,Block_723,386249,69.8,20,26,10.0,9.2927,79.5774
Namakkal,Block_724,468002,70.9,35,141,9.9,9.873,77.3811
Thoothukudi,Block_725,122970,72.5,37,193,12.0,13.1147,79.2563
Salem,Block_726,181827,72.2,39,139,7.2,8.3948,76.5298
Vellore,Block_727,200468,76.4,27,96,10.6,11.5733,77.0724
Tirunelveli,Block_728,82457,74.9,58,132,12.6,9.3664,76.6934
Virudhunagar,Block_729,69484,84.1,7,94,9.0,10.2014,77.4048
Tiruvallur,Block_730,446814,74.4,39,42,6.2,8.285,76.7677
Virudhunagar,Block_731,334563,91.2,49,56,3.2,11.9235,79.7597
Ariyalur,Block_732,350335,87.9,61,56,5.2,9.817,76.3316
Salem,Block_733,488990,75.5,23,45,4.2,11.1844,78.6166
Pudukkottai,Block_734,331076,88.8,37,196,9.1,9.9239,77.9068
Nagapattinam,Block_735,256075,85.3,62,139,10.0,10.9935,76.7777
Trichy,Block_736,309415,85.3,30,89,6.8,13.4619,77.1713
Madurai,Block_737,387353,68.5,68,98,6.2,11.8911,76.31
Perambalur,Block_738,436989,86.1,8,174,14.0,9.3352,76.4853
Tirunelveli,Block_739,246121,73.6,17,165,14.4,10.4005,77.4438
Krishnagiri,Block_740,447080,88.6,73,32,8.0,13.1838,78.7279
Thanjavur,Block_741,412111,81.7,9,158,5.8,12.5598,76.9078
Cuddalore,Block_742,277934,70.5,27,135,3.8,10.1434,79.7709
Ramanathapuram,Block_743,434908,81.4,49,134,8.7,13.4632,77.0988
Thanjavur,Block_744,143449,66.9,77,39,13.0,9.1118,77.462
Madurai,Block_745,267684,65.1,63,120,10.3,9.8086,78.0366
Nilgiris,Block_746,313914,67.4,40,101,4.4,11.277,76.5571
Karur,Block_747,191905,91.5,66,27,3.6,10.028,77.4192
Erode,Block_748,365045,80.7,32,200,4.9,9.3297,78.7447
Nagapattinam,Block_749,405667,65.4,43,31,9.5,12.7403,79.9857
Chennai,Block_750,222527,88.2,72,28,7.8,8.3124,78.7819
Erode,Block_751,373199,78.4,52,195,11.4,11.9855,79.7199
Thoothukudi,Block_752,233836,78.9,43,167,13.4,8.5482,78.7253
Krishnagiri,Block_753,57756,86.3,61,85,3.9,11.5746,78.5063
Ariyalur,Block_754,428757,73.3,78,106,9.5,13.4398,78.8793
Cuddalore,Block_755,417603,74.0,30,50,4.2,11.4833,79.6395
Krishnagiri,Block_756,309551,88.5,18,181,10.4,13.1547,78.9896
Viluppuram,Block_757,113997,77.4,27,58,7.3,11.3329,80.1218
Cuddalore,Block_758,199027,86.7,33,156,3.4,12.2697,76.2786
Salem,Block_759,472986,83.4,53,113,9.8,12.9731,79.8073
Trichy,Block_760,190338,79.0,76,65,5.0,11.5161,80.1507
Ariyalur,Block_761,223728,89.5,71,136,8.9,9.3595,76.5816
Erode,Block_762,351362,73.3,44,93,14.8,8.1032,76.8124
Sivagangai,Block_763,160202,88.6,13,113,4.2,12.3153,79.6837
Tiruvallur,Block_764,231224,76.0,51,80,4.5,12.6987,76.0924
